id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
ST8SIA4	394263.9688	206313.4219	244036.9844	951412.25	958242.125	1098647.5	81962.47656	317764.6875	172226.375	149897.4375	137308.3281	149204.7656
CHMP1B	4701471	4260161	2994190.25	7494734.5	6663439.5	5485021	4948441.5	4701059	3323777	4101801.75	4145269	4777854
DBR1	4755284.5	5675312	5464939	1621697.25	2198688.75	2260765.5	1521807.625	1160833.5	1953436.875	2703224.25	3916706	2962489
ALDH7A1	4668267	4374208	4474031.5	3889286.75	4985954.5	3567108.5	6288882	5524034	4400154	5635052	5478722.5	4509195
SH2D4A	5022951	5008637	3864218.5	13106076	12736903	11858103	839417.4375	566471.1875	762614.8125	5838944	5825504.5	5638841
ATP2B2	499884.4375	400587.6875	308745.4063	415624.25	653739.5	519065.4375	493077.8125	373934.6563	310861.6563	579419.25	774965.75	382484.0938
RFX1	1470227.375	1592561.5	1863539.125	1559114.375	385031.6563	1028058.125	406642.9375	1157501	1395583.125	1120662.25	1655612.625	1198731.125
NMD3	4934884	4748903.5	5672281.5	3584165	3299705.5	4149766.5	3000071	2635485	2700756.25	3158498	3063180	3255174
ANK3	466326.6563	533725.625	560813.875	144033.5313	129994.6875	189575.0156	144683.375	141125.9375	98443.60156	328635.9375	391037.1563	376217.1563
GRHPR	3029868.75	2922278.5	2733757.25	2516417	2360425.25	2560138.5	2511541.75	2037377.5	2589968.75	1895283.25	1910876.25	2489043.75
ATP6V1E1	1880285.75	1189485	1264399.875	2087336.125	2188915.5	1428220.375	1137651.625	1134663.625	1229315.5	1028970.125	1587232.125	1930723.125
EHMT2	3439771.25	3696743.25	3351710.25	4221855	4473042	4970721	1409185.875	1175020		1263632.125	2640520	2175412
PLCD3	569901.875	1434264	611553.375	295431.5938	703232.5	233920.2031	427283.375	908937.6875	956919.875	209691.2969	921601	289500.9375
LRG1	255499.2031	126777.5781	125329.2734	2556039.5	2600316.75	1594841.375	215831.7188	348704.6875	456514.4688	100512.9063	89363.85938	673829.75
CAPN5	1802262.5	2467249	1828321.875	365686.5938	1731508.375	972041.5625	2492229.5	2882410	3134980.5	2072749	2054615.25	1625394
GLUL	6798322.5	6638774	6884125	4641057.5	6971554	4086626.5	3915340.5	2751061.25	3659934.75	3864568	4885668	4107737
SLAIN2	494168.625	1275385.625	426847.4063	1100228.625	298032	1461948.5					232282.3281	
SCARB1	1410315.125	1561115.875	1635151.625	1287877.75	2072657.625	1531866.5	2189089.5	1909642.75	1833911.625	1573758.5	1757140.875	1710415.25
COL1A1	4632122	6008998.5	5804186	2691234.75	2401370.25	2557630.25	748965.9375	1577873.25	489840.125	2831599.25	3847063.5	4769289
PAFAH1B2	2193828	2460953.75	2386274	1817330.75	1764293.5	1790403.25	1294040.625	1132104.25	1599492.75	1377129.75	1269132.875	1696478.25
WASF2	1622853.125	2489266.5	1843143	1922400.625	2534936.25	1671632.25	955899.25	178053.0469	1380126.5	432453.0938	1406140.75	1754073.25
HBS1L	361451.25	286685	292532.2188		5558.979004	7830.263672	12771.4082	16908.27539	169240.8125	76510.47656	90286.26563	102914.4609
SUCO	365889.125	295651.4375	297006.0625	3172706.25	2344099.5	2979036.5	279155.8125	560493.9375	646014.375	1738411.75	1757161.5	1424130.5
NPTN	4330214	5236107.5	3744946.5	2965828.25	2791074.75	3082653.5	2935083.25	2667306.5	2686293.75	3322086.25	4695914	3664476
ENPP5	4094265.5	3319401	3119795.5	2703266.25	2343111.25	2477740.75	1018306.625	1146036.25	1188857.75	2860994.25	2580645.5	2937812.25
DYNC1LI2	2911230.25	4343147	3631272.25	3254448.75	2974730	3073547.5	2119754.25	2490108.25	2411290	2039820.625	1941197	1819399.5
IL27RA	993881.75	699948.5	473877.1875	935951.4375	827125.0625	840751.1875	1459304.875	1301717.5	1330072.125	1353248.75	1054435	946341.875
CD58	16080919	15025459	9745232	14986559	14104046	9665736	16287405	13940557	15805057	14328112	10470310	12255426
PTPRU	1234475.375	1139617.875	933584	666224.25	879631.0625	678338.75	570395.625	509959.9688	565756.375	747412.8125	326990.2813	738033.5625
MOV10	978527.875	1163011.375	898896.25	585417.125	558968.4375	316319.0625	276627.9375	225220.9844	565815.25	111658.3672		417834.125
AQR	165682.7969	701976.375	725501.9375	355387.0313	124110.1953	90016.09375	266002.4688	152374.1406	205069.1563	201940.8125	208688.0313	201958.8594
MYEF2	578262.0625	900963.5	499291	149955.8906	710975.4375	449824.125	149459.7344	103383.5234	223406.375	176356.4219	180248.875	188748.0781
COPE	1790652.5	1800503.5	1679881.25	4697328	6339831.5	4584601.5	2390464	1032651.75	1242880.25	1128259.5	1529353.5	2627764.75
ATP1B3	4072606	72494568	79704472	33567704	5235982.5	5645595.5	77922968	69886184	2884879.25	2976187.25	3393593	2628327.75
KIAA1522	4840771.5	4986754	4440858	3616208	4054371.25	3971262.5	2049082.5	2784106.5	4158857.5	3439309.75	3586068	3547101.75
CHST11	156085.1094	1144445.875	1524661.875	2028942.25	1748925.5	1339566.125	3755402.5	3318782	3505472.25	1170682.375	1735837	2170076.25
PACSIN3	1547223.75	2479334.25	2175476.5	1981302	2547192	1456384	1441008.75	1498447.5	1249612	695580.1875	901646.8125	616752.75
DRG1	1418451.5	1943384.375	1698037.375	1170771.125	1184902.75	906371.1875	320228.6563	752308.8125	538875.8125	485280.5938	532523	732787.9375
B3GALNT1	1420804.75	2204537.5	1871113	1221364.25	1064556.75	1660278	1142185.125	1366389.5	1548371.375	1293463	761846.125	1166581.125
RRM1	2134907	2495432.5	2512048.5	1426318.5	1326528.375	1194158.25	172423.2344	763628.25	311302.8438	842422.875	441639.3125	1613284.75
FBLN5	4812914	5829635.5	4801536.5	2427148.75	2934226.75	2354579.25	768408.125	485297.4688	942547.75	1121993.5	1519838.625	1378048
AFAP1	1809082.375	2086443.625	2550077.5	177561.8281	174325.6406	779149.25	122675.8438	109660.8359	144171.9688	135399.9688	402307.9375	181401.6563
MAP2K1	20298604	19532252	44066212	30487876	27139584	22271084	21261800	43707564	13457936	61002800	78376448	80012080
LARP7	2819432.5	3164978.5	3696388.25	851817.625	976934.5625	1647707	753652.3125	539309	758303.8125	522055	1179385	814526.0625
