id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
RP11-57A19.2	1.07397192	0.845078635	0.882729799	0.696589084	0.34112174	0.744000559	0.91000577	0.822843845	0.825053074	0.465809118	0.667440024	0.50962617
RP11-736K20.6	0.395915574	0.398946877	0.396650345	0.271293619	0.146176169	0.391165491	0.271229642	0.38687247	0.072366545	0.1491076	0.075159465	0.074450845
RP11-539L10.2	0.275624948	0.277822174	0.396650345	0.551394371	0.565447194	0.391165491	0.141979423	0.495771231	0.443691618	0.284237754	0.458741388	0.562319513
RP11-159H10.3	0.839511243	0.845078635	0.753293849	0.64979587	0.889909453	1.098953285	1.100346385	1.01805432	0.825053074	0.076479293	0.214662507	0.212731767
RP11-10L12.4	1.004861887	0.845078635	0.797742037	0.445786723	0.970627145	0.698578448	0.785697857	0.495771231	0.738742059	0.677042169	0.761461582	0.800282572
RP11-1149O23.3	2.339213625	2.233461238	2.096573138	1.942164351	1.925415667	1.975649064	2.065393527	1.79716348	1.824317318	2.324186331	2.310606536	2.300785701
RP11-1277A3.2	0.823511104	1.288784659	0.987141874	1.036763148	0.825307365	1.409166555	1.11915119	0.563339107	1.094460769	0.416170382	0.297348254	0.874298247
RP11-1094H24.4	0.14438471	0.145588364	0	0.499556663	0.146176169	0.142501638	0.141979423	0.206365509	0.072366545	0.575288172	0.761461582	0.398088663
LINC00535	0.073997852	0	0.074150959	0.072753932	0.146176169	0.142501638	0	0	0.072366545	0	0.214662507	0
RASSF8-AS1	2.370516736	2.012128853	2.556914362	1.319299529	1.811589591	1.817898129	2.438370634	2.321741277	2.60066422	1.58547125	0.963098635	1.435232696
H2AFJ	4.493197387	4.606440522	4.61604132	4.314754964	4.527398592	4.558331556	4.555530285	4.483810636	4.742623217	4.690718929	4.908729728	4.492930606
CTD-2514K5.2	0	0.213219766	0.337661456	0.331833492	0.665828083	0	0.389846519	0.269077652	0.388068367	0	0.34185754	0.33891016
RGMB-AS1	0.752050308	1.080630929	0.882729799	0.389934909	0.512509995	0.553044563	0.828335061	0.904124115	1.021687263	0.772089812	0.34185754	0.50962617
RP11-61A14.4	0.452497507	0.339655314	0.453321744	0.14201441	0.146176169	0.272184429	0.20805148	0.38687247	0.207043275	0.1491076	0.401482848	0.277199973
RP11-68L18.1	0	0.074629894	0.211914188	0.072753932	0.340939563	0.073009547	0	0.072118554	0	0.076479293	0.214662507	0.074450845
STARD4-AS1	0.452497507	0	0.107586421	0	0	0	0.072735578	0.38687247	0.12985888	0	0	0
DNM1P35	0.658943065	0.277822174	0.507850885	0.696589084	0.214061022	0.20879968	0.445687517	0.691633783	0.269942843	0.1491076	0.214662507	0.145247434
AP000487.5	0.882072298	0.973578211	0.882729799	0.828540136	1.009353288	0.951854323	1.060698163	1.054115769	1.159991001	0.817364089	0.7152166	0.800326446
LINC00920	0.796443445	0.845078635	0.560393847	1.351442563	0.930832737	0.830767321	0.949170349	0.822843845	1.056750189	0.772089812	1.320409151	0.562319513
UBAP1L	0.073997852	0.277822174	0.144676329	0.64979587	0.512509995	0.073009547	0.20805148	0.206365509	0.443691618	0.1491076	0.566861184	0.398088663
RP1-179N16.6	0	0.307337883	0	0	0.074938644	0	0	0.206365509	0.388068367	0	0.214662507	0
SOCS2-AS1	0.884542053	0.887099026	0.09517437	0.479841085	0.970627145	0.990058889	0.613547926	0	0.260804843	0.284237754	0.34185754	0.277199973
PGAM5	6.182086427	6.263139632	6.271231582	6.571360506	6.538133617	6.587455885	6.146123403	6.000447768	6.031419941	6.24643322	6.463967467	6.310637679
RP11-318M2.2	1.267866534	1.283162147	0.994378535	0.621216245	0.897568294	1.017655876	0.563492891	0.736931352	1.114513086	0.737223749	0.313704056	0.831316824
SNHG10	2.284720086	2.538110614	2.338603237	2.362483609	2.376583668	1.961585747	2.188529616	2.340610551	2.59500063	2.531770647	2.334298653	2.108488639
MIR210HG	0.452497507	0.339655314	0.157831399	0.601433913	0.457556125	0.265782959	0.389846519	0.38687247	0.141275862	0.1491076	0.279661337	0.33891016
CTD-2260A17.2	2.452467585	2.407851806	2.051653247	1.558024093	1.695674079	1.467225827	1.971484207	1.872428895	2.193845941	1.335921566	1.834678343	1.824599839
RP11-11N9.4	0.899028166	1.413608332	0	0.97971107	0	0.675647833	1.112507651	0.505389004	1.34597385	0	0	0
RP11-727A23.5	1.102045445	0.7905499	1.028834307	0.901178705	0.788952907	0.59554333	0.6420798	0.810246984	0.755851087	0.561250859	1.121977499	0.33891016
CSTF3-AS1	0.073997852	0.213219766	0.396650345	0.072753932	0.146176169	0.073009547	0.271229642	0.072118554	0	0.076479293	0	0.074450845
UBL7-AS1	0	0.500163695	0	0	0	0	0.61612978	0.266682286	0	0	0	0
ZBED5-AS1	2.111411132	2.375906751	2.278865933	2.062251202	1.684350541	1.649375882	2.15717893	2.205612632	1.961258513	0.822080923	0.899050076	1.70246552
RP11-902B17.1	0.077743857	0.081595369	0.087460731	0	0.07989586	0.155065936	0.534892434	0.423615145	0.074130005	0	0	0.092764967
AL034548.1	4.087411459	4.108390602	3.909750747	3.859576109	3.954384026	3.945874774	3.660851586	3.653610993	3.68158456	3.847260478	4.205174111	4.100376187
RP11-273G15.2	0.506943813	0.801797532	0.611090248	0.601433913	0.400425823	0.447167812	0.445687517	0.597023783	0.207043275	0.218254222	0.761461582	0.562319513
