id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(padj)	-log10(pvalue)
TGFBR3	-0.545458588	0.013396955	0.007109198	-3.233873556	16.56323661	1.87299390140933	2.14817938996223
PHF5A	-0.780085511	0.013419983	0.007125158	-3.232668498	19.05826829	1.87224803431687	2.14720550075562
HMBS	-0.878928224	0.013508856	0.007176109	-3.228839653	19.12575923	1.86938142773029	2.14411097328907
PGRMC1	0.552579025	0.013512741	0.007181939	3.228403292	21.11554228	1.86925654731898	2.14375828788662
TK1	-0.927634436	0.013601369	0.007232835	-3.22460891	20.2605664	1.86641737698099	2.14069144218988
NUDT12	-1.117035426	0.013724809	0.007302302	-3.219473312	16.26122101	1.8624936906537	2.13654020997553
RBM6	-3.07908313	0.01375228	0.007320751	-3.295248704	17.34000294	1.8616252938823	2.13544436451183
ARHGDIA	0.407320347	0.013844115	0.007373496	3.214260861	26.32895013	1.85873480177476	2.13232655101244
H2BC21	-0.315492883	0.013984259	0.007452036	-3.208569143	29.15249085	1.85436054114351	2.12772505573989
APOB	-2.325960942	0.014081384	0.007508267	-3.280857955	22.41335908	1.85135465811834	2.12446029191578
TM4SF1	2.762600446	0.014081384	0.007511641	3.280602376	21.15074191	1.85135465811834	2.12426517625907
APMAP	-1.469372186	0.014145966	0.007550035	-3.217290726	21.22128502	1.84936739008435	2.1220510350898
RPL10	-1.210900253	0.014247646	0.007610675	-3.197254693	20.65181009	1.84625688398252	2.11857682341668
SH3GLB1	-1.027717698	0.014247646	0.007612246	-3.197143865	16.65782337	1.84625688398252	2.1184871853461
AP2M1	-0.893869799	0.01426168	0.007623719	-3.196334985	21.91213532	1.84582931236955	2.11783311958359
EEF1B2	-0.41107771	0.014311089	0.007654371	-3.194179911	23.38744127	1.84432731741451	2.11609049176556
ANK2	0.70429547	0.014311089	0.007661371	3.193688994	23.77601695	1.84432731741451	2.115693506548
MTDH	-0.52173627	0.014311089	0.007662096	-3.193638173	26.97007524	1.84432731741451	2.11565241095264
CCT3	-0.475269433	0.0143965	0.007711837	-3.190162999	23.62884662	1.84174307842159	2.11284215840355
FUBP1	-0.646991743	0.014428419	0.007732957	-3.188694272	20.26923099	1.84078125429755	2.11165440475983
NUDT16	0.575288042	0.014451599	0.007749408	3.187553014	16.27182714	1.84008409765089	2.11073147325542
NECAP2	-1.427784196	0.014492486	0.007777211	-3.1857583	18.16586944	1.8388571104932	2.10917611823755
SEMA7A	0.324303314	0.014492486	0.007779411	3.185477894	24.38902391	1.8388571104932	2.10905328336163
PGGHG	-0.881201109	0.01452675	0.007801852	-3.183931061	18.4224628	1.83783153745309	2.10780229244937
LASP1	-1.132823359	0.014722846	0.007911273	-3.176580001	21.86117199	1.83200823058105	2.10175362871559
BZW2	-0.578351552	0.014756897	0.007933683	-3.174933571	20.92317237	1.83100495399347	2.10052515628198
LGSN	-0.893671496	0.014806603	0.007964533	-3.172849769	19.90232191	1.82954456791883	2.09883968395186
USP25	-0.7657415	0.014978348	0.008063774	-3.166201062	17.81001932	1.82453608343546	2.09346165251664
PLSCR3	0.784890874	0.014978348	0.008065264	3.166101878	19.42853167	1.82453608343546	2.0933814122965
CTSA	-0.518450161	0.015005717	0.008084184	-3.164843937	23.26369684	1.82374324837615	2.09236381028844
AGA	1.296099273	0.015114037	0.008150965	3.171732402	21.54978105	1.82061951893999	2.08879097170596
VAC14	-1.010063862	0.015114037	0.008147878	-3.160630614	20.6752323	1.82061951893999	2.08895548241162
TPT1	0.660540182	0.015116833	0.008156686	3.160050607	23.31408258	1.82053918467406	2.08848625598291
SAFB2	-0.64812611	0.015129566	0.008167773	-3.159321393	22.13608882	1.82017352977645	2.08789634073228
HDGFL2	-0.366945611	0.015166084	0.008191714	-3.157750109	25.77675605	1.8191265429271	2.08662521876937
FOCAD	-0.636876127	0.015172102	0.008199607	-3.157233136	20.90384523	1.81895424625607	2.08620696247257
HCLS1	-0.854199436	0.015172102	0.008203422	-3.156983427	18.09593608	1.81895424625607	2.08600494692064
ARL3	-0.656727972	0.015234447	0.008241377	-3.154505406	18.44062592	1.81717330574766	2.08400021869866
NUDT3	-0.800128765	0.015288961	0.008275129	-3.152311453	19.55941585	1.81562202716444	2.08222522733454
ILF2	-0.385990847	0.015357051	0.008316263	-3.149649755	25.93753364	1.8136921734574	2.08007178465531
SLC9A3R2	-0.771746152	0.015364047	0.008324333	-3.149129076	20.72482252	1.81349437295899	2.07965055494169
PRMT5	-0.630554876	0.015375206	0.008334665	-3.148463281	22.24375944	1.81317905675164	2.07911185133391
IMPA1	-0.537602234	0.015404075	0.008354607	-3.14718046	24.28025206	1.81236437553315	2.07807397446546
LUC7L	-2.086715785	0.015685923	0.008515426	-3.182818872	18.58535625	1.80448992121151	2.06979362076991
LTBP3	-0.362459874	0.015685923	0.008516215	-3.136896927	23.81446658	1.80448992121151	2.06975338291538
ZC3H18	-0.552621687	0.015713068	0.008535331	-3.135693456	23.98840939	1.80373901003425	2.0687796322896
KIT	1.308699917	0.015739252	0.008553941	3.134524521	18.89984375	1.80301591111238	2.06783374957404
