id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
YES1	-0.580624375	0.069246798	0.04094117	-2.287991546	21.73522544	1.38783975040621	1.15960030375206
POLR3C	-0.591965689	0.069246798	0.040969544	-2.287609257	16.2961536	1.38753886981268	1.15960030375206
TPI1	0.374761513	0.069246798	0.040972952	2.287563363	27.32110698	1.38750274507479	1.15960030375206
PLS3	0.31788546	0.069331166	0.041042195	2.286631578	24.55963498	1.38676942053523	1.15907149584756
GNA14	-0.532903266	0.069336406	0.041065858	-2.286313509	17.99651675	1.38651909891063	1.15903867342119
FBLN2	-0.297444109	0.069336406	0.041083946	-2.286070478	22.60610662	1.3863278502811	1.15903867342119
WDR59	-0.630308574	0.06972845	0.041335678	-2.282698854	18.30593255	1.38367493455142	1.15658998865897
CTNNB1	0.447454365	0.070167749	0.041615655	2.278971847	23.31263969	1.38074326549945	1.15386245552989
PRKCI	-0.619561714	0.070366283	0.041753015	-2.277152066	21.09452748	1.3793121584897	1.15263538936232
F11	0.456826972	0.070818507	0.042041087	2.273354048	20.73195006	1.37632606352869	1.14985323330364
NMT1	-1.024798676	0.070841908	0.042074723	-2.2888792	21.83480886	1.3759787345314	1.14970975037987
SCAI	-0.579213357	0.070914996	0.042137896	-2.272083259	18.59512615	1.37532715307538	1.14926191726543
SEPTIN11	-0.294359364	0.070980789	0.042196774	-2.271311747	24.71346729	1.37472075016517	1.1488591774815
EIF3B	-0.284960348	0.071801817	0.042704871	-2.264696067	26.66298502	1.36952258568292	1.14386456546398
RPL23	-0.3663984	0.072159857	0.042937931	-2.261686547	30.27425443	1.36715888623725	1.14170433611152
SFN	1.502653675	0.072163962	0.042960486	2.281762789	19.35496588	1.36693081422833	1.14167963084996
PTPN2	-0.446380266	0.072212395	0.043009445	-2.260766193	16.75418469	1.36643616160756	1.14138825093336
MLLT1	-0.810949195	0.072302637	0.043083344	-2.25981667	20.67718999	1.36569059543011	1.14084586295908
USP33	-1.643313605	0.072516983	0.043231278	-2.281876851	19.52337271	1.36420192569365	1.1395602726089
USP7	-0.457957123	0.072530166	0.043259352	-2.257561395	21.76412033	1.36391999032763	1.13948132856608
PSMC1	-0.496971988	0.072620639	0.043333553	-2.25661324	23.6053318	1.36317570087946	1.1389399339834
MOV10	-1.10164953	0.072816316	0.04347061	-2.254933368	18.77993127	1.36180426554242	1.13777129713159
CHID1	-0.354287354	0.073001101	0.043601271	-2.253205061	22.85195768	1.36050085063414	1.13667058981627
TFG	0.461491965	0.073588734	0.043972755	2.248508698	22.58640306	1.35681632392281	1.1331886684905
MATN3	-0.480503128	0.073590515	0.043994329	-2.248237112	19.36799114	1.35660330175783	1.13317815779041
NHLRC3	0.427323938	0.073706766	0.04408437	2.247105009	21.67527719	1.35571536123393	1.132492643734
NUDT12	0.778360343	0.074172559	0.044383635	2.243357995	16.26122101	1.35277713212217	1.12975673729658
GJA1	0.463515654	0.074561136	0.044636934	2.240205223	18.57187452	1.35030564365405	1.12748748377139
GRWD1	-1.264903471	0.074745117	0.044800935	-2.261614727	21.49005855	1.34871292213794	1.12641717396305
ARMH4	0.709689295	0.074745117	0.044795524	2.238239922	19.14755993	1.34876537884149	1.12641717396305
PLCH1	-0.557063132	0.074745117	0.044809573	-2.238066134	21.63359071	1.3486291945522	1.12641717396305
PBK	-0.408762354	0.07538575	0.045214641	-2.23307767	20.34508161	1.34472091306647	1.12271074008842
FLNA	-0.203568624	0.075459621	0.045297685	-2.232060227	31.33376318	1.34392399263212	1.12228538039691
SMOC1	-0.377402865	0.075459621	0.04530101	-2.232019521	23.59957726	1.34389211514971	1.12228538039691
