id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
RCC1	-0.572302463	0.002581247	0.000709921	-4.503599637	24.94921406	3.14878997687665	2.58817043574885
GOLGA5	-1.170656453	0.002581247	0.000710571	-4.503076081	19.39896326	3.14839252101919	2.58817043574885
SBDS	-1.234229968	0.002584013	0.00071226	-4.501718262	19.65010032	3.14736144463067	2.58770530576439
AHSA1	-0.686240617	0.002596614	0.000716457	-4.49835836	25.69936479	3.14480986977901	2.58559260567663
ITGA5	1.225287881	0.002608328	0.000720416	4.49520778	19.56506015	3.14241665032981	2.58363779651636
MTA2	-0.918225706	0.002611055	0.000721897	-4.494033864	20.2272198	3.14152476298809	2.58318397997907
TACC2	-1.263683863	0.00262367	0.000726116	-4.490703259	20.90683443	3.13899399343816	2.58109079055847
ESF1	-1.26360596	0.002628082	0.00072807	-4.489167934	20.83438813	3.13782686360968	2.58036108827819
DSTN	-1.005678711	0.002638686	0.000731796	-4.486250892	20.38353479	3.13560996869838	2.57861228715048
MPP2	-0.781269534	0.002638686	0.000732478	-4.485718762	16.33492531	3.13520541482653	2.57861228715048
PCCA	-1.300497387	0.00264823	0.000735866	-4.483083168	16.72935499	3.13320126278058	2.57704429891774
NACA	-0.859031574	0.002671742	0.000743143	-4.477463087	26.70769386	3.12892760866835	2.57320548234401
SLC9C1	-1.042861013	0.002698636	0.000751376	-4.471174261	19.32179401	3.12414268102407	2.56885569041655
PRPF8	-0.659620058	0.002713105	0.000756161	-4.467552326	24.34432959	3.12138572570606	2.56653339826266
PAPOLA	-0.815043931	0.00272197	0.00075939	-4.465121014	22.824083	3.11953512614989	2.56511666565225
AP3B1	-1.055455435	0.002723709	0.000760634	-4.464187131	22.20044061	3.11882426572122	2.56483929413266
RPS14	-0.904326988	0.002735891	0.000764799	-4.461073039	22.26790364	3.11645268858599	2.56290120923317
H4C1	-0.596865032	0.002769062	0.000774843	-4.453634143	26.71777572	3.11078628606272	2.55766732018204
PAK1	-0.635363914	0.002806212	0.000786021	-4.445473075	24.64044927	3.10456585082791	2.55187952256202
TMPRSS15	1.345528499	0.002806467	0.000786875	4.444854847	20.24706188	3.10409425254806	2.55184006009037
ANKRD30B	-1.297004922	0.002822352	0.000792115	-4.441074541	19.28871039	3.10121176255218	2.54938882257166
GCLC	-1.437763746	0.002823451	0.00079321	-4.440287569	20.64818533	3.10061181928085	2.54921974488983
ZDHHC5	-1.021775048	0.002843904	0.000799749	-4.435613722	17.4296779	3.097046294282	2.54608506791905
TRIM29	-1.225753102	0.002865076	0.000807173	-4.430354589	21.41920518	3.09303337371258	2.54286385329769
SLC12A4	-1.53214304	0.002865076	0.0008073	-4.430265208	19.32894518	3.09296504751658	2.54286385329769
TEX10	-1.125836986	0.002868075	0.000808944	-4.429107498	22.52148789	3.09208154183986	2.54240949607946
