id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
CPT1A	-0.078768098	0.450813633	0.295983302	-1.094212164	25.77599882	0.528732789122861	0.346002958980974
DDX23	-0.069980327	0.450813633	0.296017716	-1.094130351	25.86447052	0.528682296607266	0.346002958980974
SNX5	-0.070011316	0.451376501	0.29645112	-1.093100638	24.38605996	0.528046904540131	0.345461054366981
RPL21	-0.08037818	0.45167338	0.296709952	-1.092486229	26.08363642	0.527667886692262	0.3451755044348
CTBP2	-0.080514743	0.45175191	0.296825399	-1.092212313	25.52062772	0.527498939735353	0.345100002572881
PRORP	0.168008046	0.452034548	0.297075009	1.091620355	21.22026992	0.527133881046891	0.344828371754138
AP1M2	-0.075816538	0.453750038	0.298266565	-1.088799716	24.81419178	0.525395427327971	0.343183325585165
CNPY3	0.071310142	0.453924582	0.298470689	1.088317371	23.56514018	0.525098311873263	0.343016297676015
USP25	0.083977014	0.453924582	0.298509635	1.08822537	25.20628131	0.525041646578827	0.343016297676015
MSH3	-0.120688523	0.454815847	0.299160042	-1.086690274	22.63235916	0.524096414476657	0.342164411739899
DNTTIP2	-0.305528213	0.455382095	0.299659784	-1.086119522	21.48784027	0.523371537864569	0.341624049249133
ZDHHC21	0.167074215	0.455382095	0.299661246	1.085509048	17.22498976	0.523369419005057	0.341624049249133
PRKACA	-0.102071022	0.455404807	0.299740568	-1.085322239	22.94827625	0.523254474050637	0.341602389525539
BSDC1	-0.16369957	0.455678969	0.299985434	-1.084745803	22.45994238	0.522899832237007	0.341341014994507
NLE1	-0.126137906	0.456204743	0.300396055	-1.083779961	21.54192681	0.522305775073266	0.340840203829165
EXOC4	0.064575276	0.456546044	0.300685329	1.083100143	24.11064284	0.521887761423197	0.340515416055793
DGCR8	-0.146492836	0.456692895	0.300846606	-1.082721343	19.84953872	0.521654883636464	0.340375744877117
TREX1	-0.79088638	0.456732239	0.300937089	-1.087107153	18.93614888	0.521524284325686	0.340338332107377
PLEKHG3	0.269989303	0.457648671	0.301619804	1.080907418	20.28088142	0.520540146603473	0.339467794480114
POLD1	-0.091540018	0.457648671	0.301670307	-1.080789059	23.9035858	0.52046743473941	0.339467794480114
MPZL1	-0.209062522	0.457710024	0.301775453	-1.080542689	20.35951442	0.5203160894783	0.33940957627662
AP3M2	0.127583611	0.458340596	0.302255991	1.079417548	20.43642789	0.519625082253939	0.338811674856506
EIF4A2	-0.090182093	0.4585235	0.302441427	-1.078983726	26.09299011	0.519358721486807	0.338638401196172
GOLPH3L	0.092848998	0.459650043	0.30324947	1.077095666	22.02231153	0.518199949492804	0.33757269491927
RNF220	-0.24267042	0.459947559	0.303510773	-1.07648592	19.53643672	0.517825889196898	0.337291681655849
DPH6	0.336101511	0.460057194	0.303701381	1.076041389	18.81105242	0.517553233240392	0.337188173765061
TMEM53	0.163488179	0.460057194	0.303713188	1.076013858	19.70769946	0.517536349499994	0.337188173765061
SEMA3F	-0.211351741	0.460136857	0.303830826	-1.07573962	19.20245498	0.517368165685411	0.337112978318273
LSM12	-0.37675591	0.460686375	0.304258799	-1.076609094	21.58379224	0.516756853354627	0.336594632005662
AP1S1	-0.106347005	0.461223993	0.304679067	-1.073764548	23.06755828	0.516157382989944	0.336088108670328
PIEZO1	-0.829686739	0.461694981	0.305120729	-1.077500243	17.70659086	0.515528286672548	0.335644846557484
SNX14	-0.433424983	0.461694981	0.305059408	-1.073286176	16.64649612	0.515615576868999	0.335644846557484
VPS4B	0.074970611	0.462436102	0.305675885	1.071448801	24.7618812	0.51473882174016	0.334948268256752
MMTAG2	-0.150032556	0.462576381	0.305834002	-1.071081995	20.80435064	0.514514232265532	0.3348165459347
BRAWNIN	-0.215660626	0.462674864	0.30596452	-1.070779323	20.92514922	0.514328931889638	0.33472409402209
COA5	-0.256805906	0.462709373	0.30605275	-1.070574769	18.4074515	0.514203713846677	0.334691703005075
AFG1L	0.208565179	0.462881502	0.306232037	1.070159248	17.362369	0.513949376784397	0.334530174455569
PSMC3	0.0588719	0.463160982	0.306482408	1.069579284	26.70983676	0.513594448805571	0.334268033943477
RAB3D	-0.086328439	0.463333659	0.30666217	-1.069163101	23.65554491	0.513339795499666	0.334106149209769
ARID1A	-0.104015547	0.463381743	0.3067595	-1.06893784	23.0576863	0.513201978776372	0.334061081185991
ATF7IP	-0.127456982	0.464472595	0.307547305	-1.067116506	22.39268472	0.512088074293808	0.333039905333177
BBS9	-0.301136293	0.464480249	0.307618033	-1.066953161	17.01727221	0.511988209173477	0.333032748694418
INSR	-0.567876833	0.464978256	0.308013586	-1.067458405	17.51232986	0.51143012702325	0.332567355755233
IL1RAP	-0.118416268	0.465191096	0.308220337	-1.065563286	22.15422458	0.511138709045609	0.332368606486741
MON2	0.076567328	0.465637979	0.308582251	1.064729113	23.93813002	0.51062905725679	0.331951604394564
SCARB1	-0.133616879	0.46581475	0.308765248	-1.064307605	21.88804459	0.510371586092619	0.331786763671268
PHPT1	-0.153278352	0.466307806	0.309157989	-1.06340361	22.99673633	0.509819526348394	0.331327314388205
NMRK1	-0.226200971	0.466434838	0.309308146	-1.063058211	18.54306417	0.509608642181549	0.33120901959956
ALKBH2	-0.195850164	0.466818461	0.30962853	-1.062321669	17.71169186	0.50915902909151	0.33085197749407
ERCC4	0.146379592	0.467141617	0.309908907	1.061677566	23.17068849	0.508765941652419	0.330551440294461
UBE2E1	0.198382666	0.46741627	0.310157191	1.061107553	19.18563211	0.508418145256985	0.330296174596249
LDLRAP1	0.352047732	0.467504229	0.310281645	1.060821961	18.10511846	0.508243914750964	0.330214456185994
TUBB4A	-0.297885394	0.468368267	0.310979553	-1.061898736	22.85914377	0.507268165028459	0.329412537027613
PPP6R1	-0.157904395	0.468368267	0.310987525	-1.059203745	21.9059312	0.507257031977426	0.329412537027613
PANK4	0.071413908	0.468445724	0.311105175	1.058934301	24.19496197	0.507092764669981	0.32934072096149
MATN3	-0.279993557	0.468652024	0.311388771	-1.058285121	16.74246418	0.50669705259213	0.329149503015965
RNMT	0.065778399	0.468652024	0.311418699	1.058216637	24.41670573	0.506655313962166	0.329149503015965
LYRM2	-0.181441412	0.468652024	0.311440934	-1.058165761	20.01049768	0.506624306854633	0.329149503015965
C14orf119	-0.163950135	0.468722082	0.311579939	-1.057847764	19.81337569	0.506430512045904	0.329084585918992
MELK	0.253955789	0.468722082	0.31162001	1.057756115	20.7026136	0.506374662830138	0.329084585918992
HSPD1	-0.04434761	0.469366155	0.312145398	-1.056555276	31.19884448	0.505643063545245	0.328488229664297
KARS1	-0.05999371	0.469366155	0.312223396	-1.056377131	26.58580303	0.505534556837347	0.328488229664297
CDK1	0.052912349	0.469366155	0.312247261	1.056322631	26.71163127	0.505501362522452	0.328488229664297
SH3BP5L	0.149462698	0.470095352	0.312798816	1.055063914	16.97028961	0.504734899492112	0.327814042814579
EIF2B2	-0.093266409	0.470229571	0.312954597	-1.054708701	23.93036126	0.504518664698414	0.32769006317725
CRADD	-0.41683627	0.470391559	0.313128902	-1.054883477	19.6846417	0.504276844871682	0.327540480113493
AP5B1	-0.253844681	0.471089631	0.313660187	-1.053101463	17.47154927	0.503540602958329	0.326896454770558
CUL3	-0.076365825	0.471282607	0.313855296	-1.052657508	24.37388393	0.503270538658417	0.326718587873101
CCDC137	0.117772019	0.471562574	0.314108404	1.052081886	21.0632162	0.502920443856191	0.32646067039261
