id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
DNAI4	0.016061125	0.954320073	0.932060699	0.087114645	18.7763599	0.0305558039739467	0.0203059412034128
SPTLC1	-0.006209928	0.954603166	0.932592283	-0.086431173	24.71069162	0.0303081825598273	0.0201771296030772
UBE2G2	0.010130263	0.954603166	0.93260708	0.086412149	21.92062113	0.0303012918696669	0.0201771296030772
AGO3	0.030147378	0.954628171	0.932766457	0.086209707	17.18539177	0.0302270798682229	0.0201657537856891
GPC1	0.01321593	0.955223262	0.933482953	0.085286112	20.15585423	0.029893608604707	0.0198951099634225
F10	0.011476099	0.955756974	0.934139627	0.084441959	18.76525645	0.0295882043871569	0.0196525243226235
AHCYL1	-0.00450254	0.956430944	0.934933556	-0.08342145	26.73343758	0.0292192525370137	0.0193463813318289
PPIL3	-0.007535279	0.957903315	0.936597789	-0.081282568	23.07457876	0.0284468717794704	0.0186783237826336
SULT2B1	-0.013789222	0.957903315	0.936643657	-0.081223624	16.9227612	0.0284256035982198	0.0186783237826336
PALM	0.004890148	0.958538141	0.937512515	0.080107129	24.83682897	0.0280229260971361	0.0183906015169838
ACP2	0.006848531	0.958538141	0.937696594	0.079870598	22.85938955	0.0279376614791184	0.0183906015169838
ARRDC1	-0.010359018	0.958538141	0.937733593	-0.079823058	19.99145552	0.0279205257183214	0.0183906015169838
SMG6	0.020133161	0.958538141	0.937856537	0.079665085	18.60898707	0.0278635901437461	0.0183906015169838
INTS13	-0.007188737	0.958538141	0.938113292	-0.079335185	23.89307589	0.0277447105341985	0.0183906015169838
TCEAL8	0.01897673	0.958538141	0.938165207	0.079268481	19.12221711	0.0277206774303221	0.0183906015169838
NOL10	0.010255485	0.958538141	0.938212904	0.079207197	20.70874319	0.0276985981449304	0.0183906015169838
NEB	-0.022938204	0.958566943	0.938376602	-0.078996873	17.26327767	0.027622829695782	0.0183775521022458
CDK5RAP2	-0.030013379	0.960603208	0.94050577	-0.076275074	18.05072056	0.0266385357101214	0.0174559673385603
UQCRB	0.006468223	0.961524739	0.941543945	0.074928077	23.41830531	0.026159405200563	0.0170395373506488
CPSF3	-0.006256621	0.961871705	0.942019674	-0.07431707	24.15102699	0.0259400269094446	0.016882850546623
NECTIN2	0.011575753	0.962012129	0.94234754	0.073895989	21.98403865	0.0257888988331517	0.0168194523649268
CWC22	0.016115697	0.962012129	0.942429185	0.073791134	20.73379821	0.0257512731849496	0.0168194523649268
FTSJ3	-0.005164675	0.962507103	0.943050146	-0.072993676	24.36756034	0.0254652133580468	0.0165960568508149
COPRS	0.014902128	0.963048854	0.943725034	0.072127019	18.80335432	0.0251545243582022	0.0163516812197478
RAD9A	0.01489666	0.963048854	0.943853224	0.071962411	17.89706201	0.0250955363830178	0.0163516812197478
RASL11A	0.009825603	0.96337654	0.944310564	0.07137516	18.85351727	0.0248851518353423	0.0162039337664462
PEPD	-0.004390479	0.963886706	0.944946891	-0.070558123	25.28810152	0.0245925995264923	0.0159740095105983
DES	0.011887797	0.964959363	0.946238215	0.068900232	18.7101537	0.0239995164137639	0.0154909755644633
RAB10	0.00365811	0.964959363	0.946381113	0.068716783	26.0674341	0.0239339355417155	0.0154909755644633
EIF3J	-0.004322212	0.964959363	0.946407699	-0.068682653	25.52380513	0.0239217353923662	0.0154909755644633
EVI5	0.010538327	0.965066122	0.946648829	0.068373102	17.42329735	0.0238110979893739	0.015442929727762
SMTN	0.037350474	0.966120038	0.947955779	0.066753925	17.57439384	0.0232119215060486	0.0149689102281308
NPRL2	-0.016237743	0.966120038	0.947882164	-0.066789916	16.97459165	0.0232456486380742	0.0149689102281308
FAM89A	-0.011095498	0.966710745	0.948672037	-0.065776082	18.44854078	0.0228839004687288	0.0147034541925946
TRIM32	-0.012238594	0.966796405	0.948892768	-0.065492777	20.4916313	0.0227828633336968	0.014664973170847
SLC39A8	0.010524428	0.967449752	0.949670777	0.064494262	19.42880361	0.0224269257772487	0.0143715823770926
DGKZ	0.03717501	0.967890445	0.950280583	0.063787755	18.34915665	0.0221481445457909	0.0141737974690769
PCIF1	0.008858749	0.967890445	0.950377019	0.063587916	20.83483921	0.0221040738803025	0.0141737974690769
TTC19	-0.011239951	0.967983065	0.950604799	-0.063295608	18.7950549	0.0219999975586622	0.0141322406682459
MRM1	0.007411129	0.968167794	0.951014075	0.062770407	19.60861616	0.0218130554604844	0.0140493682151847
PRKRA	-0.005961613	0.968167794	0.951059938	-0.062711554	25.62732923	0.0217921119559822	0.0140493682151847
TNFAIP3	0.031832318	0.968613915	0.951635101	0.062010034	16.89402085	0.0215295474150722	0.0138492962183381
GPRC5C	0.030921012	0.96864569	0.95180325	0.061892657	21.94592082	0.0214528166052836	0.0138350495916825
CCNK	-0.011630283	0.969503712	0.95284922	-0.060422795	22.6057632	0.0209758172029706	0.0134505237714227
PPP4R2	0.005225789	0.969503712	0.952920456	0.06032429	22.21964673	0.0209433501088439	0.0134505237714227
VPS13C	-0.005986775	0.969686549	0.953237244	-0.059917852	24.16270865	0.020798997643568	0.01336862866085
ZKSCAN1	-0.030835362	0.970126685	0.953922961	-0.059081488	18.73274537	0.0204866975847692	0.0131715492348343
TASOR2	0.012441024	0.970126685	0.954018766	0.058915206	18.82328072	0.0204430824341753	0.0131715492348343
LSM4	-0.00681207	0.970126685	0.95409275	-0.058820293	23.99988481	0.0204094042736529	0.0131715492348343
MAP2	0.006783697	0.970126685	0.954218472	0.058659005	22.70295142	0.0203521805144429	0.0131715492348343
HAT1	-0.007131053	0.970452475	0.954676106	-0.058075897	24.39067537	0.0201439469880559	0.0130257280248522
CIT	-0.012384613	0.970655398	0.955012945	-0.057639827	19.03334053	0.0199907416058181	0.0129349259208599
ARHGEF7	-0.032943471	0.971156278	0.955643039	-0.056931841	20.25301398	0.0197042992954368	0.0127108780097171
TMCO3	-0.008915195	0.971586225	0.956266503	-0.056031849	18.83941582	0.0194210568318005	0.0125186511835979
PDHX	0.005595457	0.971586225	0.95634081	0.055936538	23.62263809	0.0193873111487597	0.0125186511835979
CEP43	-0.009148106	0.972650427	0.95752581	-0.054416655	20.7018313	0.0188495108428843	0.0120432182141475
B4GALT4	0.015679871	0.972756301	0.957767549	0.054106617	19.66070711	0.0187398817734522	0.0119959473855227
