id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
RAB3IP	785790.1314	555071.3039	106339.8744	1014033.096	143645.5193	831840.5983	987061.3773	211832.4375	1029888.092	95521.97379	481790.5451	136117.2498
RETREG1	132447.5884	125094.1441	106368.2119	133586.8203	119385.4547	118112.4236	130375.364	125981.0547	111584.9171	77700.94517	86862.41617	72952.02684
COL9A2	101640.6165	97873.91129	106870.5945	93889.23516	121096.0265	146914.2351	163836.4737	118542.2422	99381.03284	103851.2596	127325.998	159024.5662
GRHL1	101630.7943	109480.1044	107017.5187	65006.91046	59549.25184	64592.55571	137018.3623	128307.9688	102475.2698	147917.7303	128529.6114	154583.5054
CDK13	232364.1104	119779.1833	107505.6786	124753.7245	95424.84344	70965.80371	251217.9311	204228.0313			166025.6147	424136.4373
INPP5A	294769.1648	275485.4107	107927.4554	162673.8606	218533.2097	384759.3026	155791.2541	185177.0781	348251.7922	493336.853	337081.6891	428287.607
OSTM1	80152.78659	82182.77255	108083.9907	134405.174	123826.7892	119555.7867	136463.2686	107403.9063	213210.4451	205838.1901	162198.0917	164886.8292
PHF12	120111.2971	109973.1776	108652.4439	131551.5625	91683.86242	99931.71063	119435.9456	92053.9375	117676.7081	122073.2157	61924.06504	103321.7
POP5	155521.0955	121955.5574	108780.4693	79690.21574	107189.5077	100198.8964	122874.7188	83604.29688		206734.3073	137470.9901	113153.0051
PDK1	100754.7553	71622.84854	108893.0113	203416.658	166075.6678	185085.748	83020.34555	126272.3906	143133.5329	71806.06351	70322.82159	128158.0249
DOCK10	106248.6107	91142.77329	108941.6431	137130.4009	136600.179	141478.3631	111171.324	97269.27148	46603.17747	96006.35578	124892.2149	86905.80738
